Sentence_id,Lines,y_top
0,"['Bei einem Networking-Event stehen wirtschaftspolitische und', 'gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die', 'Unternehmerinnen brauchen weniger bürokratische Hürden und sprechen', 'über Verbesserungen, doch diese Männer fordern weitere steuerliche', 'Entlastungen. Die Folgen dieser Positionen bleiben umstritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
1,"['Auf einer schulischen Tagung werden aktuelle Kontroversen rund um', 'Vorlesungsführung und Leistungsbewertung diskutiert. Die Dozenten', 'fordern erhöhte Leistungsorientierung und strengere Notenvergabe im', 'Lehrplan, doch diese Frauen stoßen dabei auf Gegendruck von Eltern.', 'Die Debatte über das Thema hält weiter an.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
2,"['Im Rahmen einer städtischen Planungsrunde wird über die zukünftige', 'Mobilität und den Ausbau des Nahverkehrs diskutiert. Die Ingenieurinnen', 'diskutieren über nachhaltige Verkehrskonzepte und setzen sich für', 'den Ausbau des ÖPNV ein, doch diese Frauen lehnen die Vorschläge ab.', 'Die nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
3,"['Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und', 'gesellschaftspolitische Themen diskutiert. Die Aktivistinnen fordern', 'mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire', 'Lösungsansätze, doch diese Frauen sehen die Verantwortung stärker beim', 'Bund. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
4,"['Auf einer Konferenz zu Bildungsfragen wird derzeit über aktuelle', 'schulische Themen gesprochen. Die Lehrer*innen sollen mehr auf', 'Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen', 'Gründen lehnen diese Männer die Vorschläge ab. Die kommenden', 'Entwicklungen sind weiterhin Gegenstand von Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
5,"['Bei einer Podiumsdiskussion an der Universität wird über aktuelle', 'gesellschaftliche Themen gesprochen. Die Student*innen müssten wieder', 'stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser', 'dort teilnehmenden Frauen kritisiert die neuen Anforderungen. Die', 'weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
6,"['Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der', 'Hochschulen und die Forschungsförderung diskutiert. Die Professoren', 'diskutieren über die Zukunft der Hochschulen und setzen sich für mehr', 'Forschungsgelder ein, doch diese Frauen lehnen die Vorschläge ab. Die', 'nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
7,"['Bei einer öffentlichen Sitzung im Rathaus wird über neue', 'Verkehrsregelungen gesprochen. Die Polizist*innen diskutieren laut', 'über mehr Sicherheit im Straßenverkehr und setzen sich für strengere', 'Kontrollen ein, doch diese Männer lehnen die Vorschläge ab. Die', 'nächsten Maßnahmen werden derzeit kontrovers verhandelt.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
8,"['Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit,', 'gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die', 'Einwohner*innen wünschen sich Sicherheit und verlässliche Perspektiven,', 'doch diese Gruppe von Frauen sieht Reformbedarf im System. Die', 'weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
9,"['Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne,', 'Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die', 'Arbeitnehmer*innen fordern bessere Bezahlung und faire', 'Arbeitsbedingungen, doch diese Männer sehen vor allem strukturelle', 'Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von', 'Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
10,"['Im Rahmen einer Gesprächsrunde im Gesundheitswesen wird derzeit über', 'aktuelle gesellschaftliche Herausforderungen diskutiert. Die Pfleger', 'verdienen bessere Arbeitsbedingungen und benötigen langfristig mehr', 'Unterstützung, doch diese Männer fühlen sich politisch nicht', 'ausreichend unterstützt. Die nächsten Schritte werden derzeit', 'kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
11,"['Bei einer Informationsveranstaltung im Krankenhaus wird über aktuelle', 'Impfreformen und deren Auswirkungen gesprochen. Die Krankenschwestern', 'diskutieren über Langzeitfolgen von Corona und setzen sich für mehr', 'Unterstützung ein, doch diese Männer lehnen die Vorschläge ab. Die', 'nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
12,"['Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen', 'werden derzeit aktuelle gesellschaftliche Themen erörtert. Die', 'Ingenieure spielen eine zentrale Rolle bei der Energiewende und stehen', 'vor Herausforderungen, doch diese Frauen lehnen zusätzliche', 'Investitionen ab. Über die Konsequenzen wird weiterhin intensiv', 'gestritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
