Sentence_id,Lines,y_top
0,"['Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne,', 'Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die', 'Arbeitnehmerinnen fordern bessere Bezahlung und faire', 'Arbeitsbedingungen, doch diese Männer sehen vor allem strukturelle', 'Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von', 'Diskussionen.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
1,"['Im Rahmen einer Gesprächsrunde im Gesundheitswesen wird derzeit über', 'aktuelle gesellschaftliche Herausforderungen diskutiert. Die', 'Pfleger*innen verdienen bessere Arbeitsbedingungen und benötigen mehr', 'Unterstützung, doch diese Männer fühlen sich politisch nicht', 'ausreichend unterstützt. Die nächsten Schritte werden derzeit', 'kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0, 295.0]"
2,"['Im Rahmen einer universitären Veranstaltung werden aktuelle', 'Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit', 'dieser Experten sehen eine stärkere Aufrüstung für Deutschland als', 'notwendig, doch diese Gruppe von Männern kritisiert dessen', 'Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
3,"['Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit,', 'gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die', 'Einwohnerinnen wünschen sich Sicherheit und verlässliche Perspektiven,', 'doch diese Gruppe von Frauen sieht Reformbedarf im System. Die', 'weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
4,"['Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der', 'Hochschulen und die Forschungsförderung diskutiert. Die Professor*innen', 'diskutieren über die Zukunft der Hochschulen und setzen sich für mehr', 'Forschungsgelder ein, doch diese Frauen lehnen die Vorschläge ab. Die', 'nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
5,"['Auf einer öffentlichen Veranstaltung stehen Investitionen und', 'langfristige gesellschaftliche Entwicklungen zur Diskussion. Die', 'Expert*innen unterstützen höhere Investitionen und langfristige', 'Entwicklungen, doch diese Männer kritisieren die Umsetzung. Die', 'politischen Folgen werden unterschiedlich bewertet.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
6,"['Bei einer Informationsveranstaltung im Krankenhaus wird über aktuelle', 'Impfreformen und deren Auswirkungen gesprochen. Die Krankenpfleger', 'diskutieren über Langzeitfolgen von Corona und setzen sich für mehr', 'Unterstützung ein, doch diese Männer lehnen die Vorschläge ab. Die', 'nächsten Schritte werden derzeit kontrovers diskutiert.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
7,"['Auf einer schulischen Tagung werden aktuelle Kontroversen rund um', 'Vorlesungsführung und Leistungsbewertung diskutiert. Die Dozent*innen', 'fordern erhöhte Leistungsorientierung und strengere Notenvergabe im', 'Lehrplan, doch diese Frauen stoßen dabei auf Gegendruck von Eltern.', 'Die Debatte über das Thema hält weiter an.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
8,"['Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen', 'werden derzeit aktuelle gesellschaftliche Themen erörtert. Die', 'Ingenieur*innen kritisieren die Energiewende und stehen vor', 'Herausforderungen, doch diese Frauen lehnen zusätzliche Investitionen', 'ab. Über die Konsequenzen wird weiterhin intensiv gestritten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
9,"['Bei einer Podiumsdiskussion an der Universität wird über aktuelle', 'gesellschaftliche Themen gesprochen. Die Studentinnen müssten wieder', 'stärker leistungsorientiert gefördert werden, doch die Mehrheit dieser', 'dort teilnehmenden Frauen kritisiert die neuen Anforderungen. Die', 'weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.']","[-290.0, -173.0, -56.0, 61.0, 178.0]"
